Key Lower Bound,Key Generation,Operation,Verification,,
0.026759,52.545379,4.998422,1.975029,,
0.006965,79.926732,1.358841,1.877524,,
0.009164,92.783482,1.281496,2.327661,,
0.008431,85.961788,1.365072,2.176271,,
0.007698,85.451535,1.196821,2.208528,,
0.007331,87.011251,1.170795,2.27341,,
0.006598,87.492545,1.091618,2.360284,,
0.006965,85.386287,1.110679,2.034045,,
0.006598,83.620931,1.132673,2.095628,,
0.008431,85.327637,1.12021,1.985293,,
0.007331,92.170226,1.11911,1.921511,,
0.006232,88.293114,1.449748,2.402439,,
0.006965,83.279296,1.220281,1.97173,,
0.005865,88.18058,1.217348,2.058972,,
0.008064,89.796746,1.097116,2.134117,,
0.016129,82.810465,1.115444,1.975396,,
0.006232,82.464798,1.135972,1.977229,,
0.016495,82.142591,1.075489,1.89292,,
0.006598,81.122453,1.165663,1.96,,
0.016495,81.013218,1.286628,1.98346,,
0.005865,79.780108,1.363606,1.894019,,
0.005865,82.137826,1.250705,2.022315,,
0.015762,81.491946,1.132673,2.01865,,
0.016129,81.562326,1.092351,1.896952,,
0.006232,79.996378,1.127174,2.060071,,
0.007698,95.496032,1.064492,1.953036,,
0.005132,82.375357,1.259503,2.175904,,
0.006598,88.54934,1.119843,2.033679,,
0.015762,80.542187,1.25767,2.040277,,
0.007331,81.730211,1.325117,1.956335,,
,,,,,
0.0094573333,83.6814255,1.3234186667,2.0547561667,,average
0.005019903,7.1787135405,0.7016083548,0.1428325792,,std deviation
,,,,,
0.0044374303,76.5027119595,0.6218103119,1.9119235875,,1 dev min
0.0144772363,90.8601390405,2.0250270215,2.1975887459,,1 dev max
