Key Lower Bound,Key Generation,Operation,Verification,,
0.035556,0.336869,1.064492,0.100804,,
0.014662,0.325139,0.995945,0.099705,,
0.015762,0.377558,1.24594,0.098605,,
0.016495,0.365094,1.042865,0.100438,,
0.015762,0.416413,1.14037,0.100071,,
0.013929,0.352631,1.102248,0.091274,,
0.023826,0.338702,1.190589,0.090907,,
0.01283,0.315242,1.124242,0.096039,,
0.013196,0.327705,1.115078,0.129762,,
0.013563,0.405783,1.008409,0.107769,,
0.023093,0.537745,1.074756,0.099705,,
0.023826,0.56487,1.074023,0.096405,,
0.013196,0.379757,1.05936,0.09054,,
0.024193,0.667874,1.300557,0.092007,,
0.023826,0.542143,1.050563,0.130129,,
0.013196,0.384522,1.091984,0.090907,,
0.014296,0.445371,1.032968,0.109235,,
0.015762,0.594195,1.07329,0.15029,,
0.013929,0.664941,1.01354,0.134528,,
0.015029,0.337969,1.008042,0.142226,,
0.013563,0.377558,1.006942,0.09274,,
0.012463,0.324773,1.055695,0.09054,,
0.023093,0.349332,1.147702,0.09274,,
0.013929,0.401017,1.064126,0.09274,,
0.012097,0.349332,1.144403,0.15029,,
0.015029,0.516484,1.190223,0.127197,,
0.015029,0.47213,1.01574,0.118399,,
0.013563,0.39332,1.010974,0.09274,,
0.014296,0.329538,1.047631,0.092373,,
0.013563,0.330638,1.039566,0.092007,,
,,,,,
0.0167517333,0.4174881667,1.0844087667,0.1064370667,,average
0.0053363209,0.1039428668,0.074499281,0.01916942,,std deviation
