Key Lower Bound,Key Generation,Operation,Verification
0.491558,36190.335920,3633.610465,3733.012568,
0.263191,12218.540568,3798.073064,3836.184015,
0.319641,12970.781079,3838.946783,4065.342381,
0.252194,12809.203680,3746.323121,3968.106285,
0.257326,12676.593375,3745.646817,3885.041060,
0.276020,12657.354803,3744.117159,3910.402663,
0.254393,12915.295516,3799.879475,4272.987298,
0.253293,12774.155343,3772.758014,3937.915978,
0.267956,13170.941925,3732.546670,3990.873371,
0.274554,12870.035897,3819.041070,4031.955297,
0.252927,13008.885065,3778.893874,3979.090277,
0.261358,12980.258139,3666.764050,4105.812883,
0.282985,12472.628361,3579.639898,3753.997070,
0.254393,13596.317311,3907.304859,3906.914838,
0.277120,13067.814099,3641.623483,3864.831468,
0.292882,12794.583406,3661.127812,3845.891276,
0.249261,12539.822973,3630.053727,3870.980524,
0.249261,12503.568652,3664.752731,3865.573387,
0.307178,12510.022320,3667.220051,3850.318963,
0.271988,12474.674870,3665.541570,3855.196420,
0.273088,12480.989978,3638.642611,3844.894597,
0.246329,12622.375746,3660.015300,3830.033493,
0.267223,12526.964023,3653.648507,3873.231940,
0.326606,12409.975070,3669.955694,3839.595962,
0.309011,12475.555715,3671.093132,3864.211614,
0.264290,12508.090911,3664.201057,3863.144922,
0.303879,12441.635653,3647.500551,3875.233362,
0.255493,12682.838104,3718.253001,3935.049473,
0.265023,12522.246753,3658.302362,3856.083863,
0.268322,12409.670825,3676.367940,3863.150421,
