Key Lower Bound,Key Generation,Operation,Verification
0.247795,12612.416291,3611.220937,3775.105835,
0.282618,13233.526670,3595.867541,3976.046723,
0.271988,13015.488290,3848.456101,4054.357655,
0.260625,12953.709246,3741.069573,3915.688835,
0.329172,12701.248249,3741.718019,3857.806699,
0.263924,12747.154114,3884.642609,3975.621146,
0.285184,12922.958834,3778.142424,3947.907323,
0.423378,12672.128666,3716.599446,4027.172046,
0.260258,13018.184711,3816.202424,4002.830215,
0.404683,13301.364596,3764.166197,4025.846929,
0.254760,12716.710147,3710.971272,3926.406704,
0.258792,12433.554088,3650.372554,3827.727459,
0.457468,12941.761566,3758.250274,4390.321184,
0.426310,13998.070058,3993.900796,4174.712736,
0.261724,12573.166069,3675.546844,3934.229110,
0.252927,12501.844350,3665.861944,3848.731022,
0.261724,12485.302198,3668.653304,3852.888187,
0.256226,12524.542156,3659.613183,3845.705796,
0.261358,12496.293521,3673.539925,3849.149268,
0.301679,12465.760480,3657.016100,3806.020467,
0.265757,12531.206597,3656.480189,3835.048043,
0.273821,12450.027694,3673.181428,3853.306066,
0.258425,12441.538881,3658.023776,3867.947967,
0.251827,12518.964935,3638.460064,3853.509874,
0.274554,12492.443168,3650.091768,3860.457666,
0.259158,12529.488160,3656.743013,3863.430107,
0.259158,12529.715794,3790.049416,3892.774758,
0.256226,12698.209094,3750.504113,3899.306870,
0.331371,12486.685598,3697.539388,3901.517965,
0.258425,12519.320499,3660.807071,3853.745206,
