Key Lower Bound,Key Generation,Operation,Verification,,
0.016129,0.105936,0.017961,0.004765,,
0.018328,0.107036,0.02346,0.004765,,
0.006598,0.116566,0.023826,0.004765,,
0.006965,0.197576,0.019061,0.004399,,
0.006965,0.104836,0.023826,0.004765,,
0.016862,0.1151,0.019794,0.004765,,
0.017595,0.120232,0.028592,0.004765,,
0.006965,0.1151,0.019428,0.004765,,
0.006232,0.114734,0.018695,0.004765,,
0.006232,0.107036,0.019794,0.014296,,
0.017595,0.168984,0.019428,0.004399,,
0.006232,0.116933,0.018695,0.006598,,
0.006965,0.181448,0.017961,0.004399,,
0.016129,0.177049,0.019428,0.007331,,
0.005498,0.211139,0.020894,0.006965,,
0.006232,0.115833,0.020894,0.004399,,
0.006965,0.201608,0.020161,0.006965,,
0.006965,0.172284,0.023826,0.006965,,
0.005865,0.173017,0.019794,0.005865,,
0.008064,0.168618,0.020161,0.007331,,
0.006232,0.182547,0.019428,0.006965,,
0.005865,0.108502,0.020894,0.005132,,
0.006232,0.1162,0.023093,0.004765,,
0.006232,0.106303,0.023826,0.004765,,
0.005865,0.134528,0.02236,0.004399,,
0.007331,0.149923,0.021994,0.007698,,
0.006232,0.107036,0.020161,0.005132,,
0.008064,0.108502,0.019794,0.004399,,
0.006232,0.107036,0.027859,0.005132,,
0.006232,0.106303,0.018695,0.006965,,
,,,,,
0.0086632667,0.1372648333,0.0211261,0.0057794667,,average
0.0043483485,0.0353636292,0.002661605,0.001962709,,std deviation
