Key Lower Bound,Key Generation,Operation,Verification
0.007698,1160.042418,18.642199,39.082747,
0.007331,1170.640434,19.184343,39.069551,
0.006232,1156.117282,19.410878,38.785466,
0.007698,1155.233870,19.059346,51.312325,
0.017595,1123.451188,18.988233,39.508691,
0.017595,1151.781230,19.235295,38.719118,
0.006965,1125.146533,18.359214,38.645439,
0.017961,1120.076259,18.547260,37.914883,
0.007331,1151.255215,18.975036,38.630410,
0.019061,1144.631822,18.033341,38.206666,
0.007331,1132.573428,18.489710,39.352169,
0.006598,1122.692406,18.529665,38.967280,
0.006598,1124.906435,18.060100,38.457760,
0.017595,1181.525466,19.030754,39.619759,
0.006965,1150.915413,18.579150,39.039126,
0.006598,1132.844316,18.701582,38.641407,
0.007331,1138.291415,19.067776,38.125289,
0.009531,1135.664271,19.200472,40.281035,
0.018328,1109.934979,18.831344,58.326106,
0.007331,1145.062532,16.345694,39.617559,
0.017961,1109.515633,18.462217,38.378216,
0.006232,1178.984098,15.995994,37.667088,
0.017228,1133.471502,18.228351,37.911584,
0.017961,1173.558627,15.607439,37.671853,
0.006232,1113.300377,18.922985,39.496961,
0.007698,1176.925491,15.625767,37.923314,
0.017228,1124.057113,18.743370,38.813691,
0.016129,1142.823943,16.431102,41.522578,
0.006598,1140.586820,18.649530,38.998804,
0.006598,1183.609366,16.419372,62.287899,
